Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Date d'échéance du titre d'accès
Commission Nationale de l'Informatique et des Libertés (CNIL),Autorité administrative,INGLEBERT,Thiphaine,Conseillère pour les questions institutionnelles et parlementaires,,31/12/2015
Communication Publique,Association,de CHAVAGNAC,Aude,Rattachée à la Présidence,,31/12/2015
Confédération de l'Artisanat et des Petites Entreprises du Bâtiment (CAPEB),Organisation professionnelle,PROUX,Dominique,Directeur des Relations institutionnelles et Européennes,,31/12/2015
Conférence des Présidents d'Université (CPU),Association,STOECKEL,Karl,Conseiller parlementaire,,31/12/2015
Conseil National de l'Ordre des Sages-Femmes,Organisation professionnelle,DELAHAYE,Jean-Marc,Chargé des Relations institutionnelles,,31/12/2015
Conseil National des Barreaux,Organisation professionnelle,BRIAND,Jacques-Edouard,Conseiller Pouvoirs publics,,31/12/2015
Conseil Supérieur de l'ordre des Experts-comptables,Organisation professionnelle,PATTETA,Gaëlle,Secrétaire général adjoint rattaché à la présidence,,31/12/2015
Conseil Supérieur du Notariat,Organisation professionnelle,MANDELLI,Christine,Administrateur chargé des relations avec les Institutions,,31/12/2015
Coop de France,Organisation professionnelle,de BRETTEVILLE,Irène,Responsable des relations parlementaires,,31/12/2015
EDF,Société Anonyme,LE THIEC,Bertrand,Directeur des affaires publiques,,31/12/2015
EGIS (Groupe),Société de conseil,EYRAUD,Jean-Jacques,Directeur Relations institutionnelles,,31/12/2015
Eurosidus SARL,Société de conseil,FRUITIER-ROTH,Pierre,Gérant,"Afrique Intelligence (Sfax, Tunisie) - Association Tataouine Dévelppement (Tataouine, Tunisie) - Wukali (Metz) - URIOSS de Lorraine (Nancy) - Emergence Consult (Nouméa, Nouvelle-Calédonie et Mata-Utu, Wallis-et-Futuma) - Dominique Dupraz (Paris)",31/12/2015
Fédération des Entreprises d'Outre-mer (FEDOM),Association,BADAT-KARAM,Samia,Secrétaire générale,"Medef Guadeloupe, MPI Guadeloupe, CGPME Guadeloupe, CCI Guadeloupe, FAPHT, IGUAVIE, Medef Guyane, MPI Guyane, FRBTP Guyane, Medef Nouvelle Calédonie,Medef Mayotte, CGPME NC, CGPME Mayotte, Medef Polynésie, CCI Mayotte,CCI Réunion, FEABTP St Pierre et Miquelon, Medef Martinique, MPI Martinique,FRBTP Réunion,AG2R La Mondiale, Homère Selarl, I2f NC, CGHTG, La Réunion économique,Océan indien participation, SEBTPAM, ZILEA, SDGA, IMAFLOR, Medef Réunion, ADIR, CGMPE Réunion, Interinvest, Bamexport, BRED, CIRT-DOM, CLI, CMA CGM, CODEBAM, ECOFIP, EURODOM, la FCD, Financière Magenta, GIHDOM, Groupe Bernard Hayot, Groupe NEL, MARFRET, PROFINA, SDV Outre-mer, SUNZIL, INGEPAR, SBTPC, Air France, SINTORIN, Société générale",31/12/2015
Fédération des Entreprises Publiques Locales (FEDEPL),Organisation professionnelle,DURNERIN,Thierry,Directeur général,,31/12/2015
Fédération des Universités Catholiques,Association,THIVIERGE,Guy-Réal,Secrétaire général,,31/12/2015
Fédération Française des Sociétés d'Assurances (FFSA),Organisation professionnelle,LABORDE,Jean-Paul,Directeur des Affaires parlementaires,"Axa - Generali,Predica - Allianz,Pacifica - Groupama,Swisslife - Aviva, Pacifica - CNP,AG2R La mondiale - BNP Paribas Assurances, …",31/12/2015
Fédération Générale des Mines et Métallurgie - CFDT,Organisation professionnelle,LE GUERN,Myriam,Chargée des Relations institutionnelles,,31/12/2015
Fédération Nationale des Experts en Subventions (FNES),Organisation professionnelle,NIVIERE,Thibault,Président,Nivière Subentions & Consulting - Tests métiers - Astalia - Yann Pierre Louis conseil - ACCES,31/12/2015
Fédération Nationale des SCoT,Association,STREBLER,Jean-Philippe,Directeur,,31/12/2015
Fédération Nationale des Syndicats d'Exploitants Agricoles (FNSEA),Organisation professionnelle,NORMAND,Nadine,Attachée parlementaire,,31/12/2015
Fonds de Gouvernance Mondiale,Association,GIRE,Pierre-Jean,Président,,31/12/2015
FP2E,Fédération professionnelle,MATHIEU,Tristan,,,31/12/2015
FRS Consulting,Société de conseil,SAMB,Abdou,Président,"Ricardo, Delta Process, Iena, Allociné, Webnet, APX Intégration,Pretty simple, Berheim,Dreyfus,Norske, Skog, Les Grands Chais de France, Clinact, Axonal, Fovea, Neolys,Scope International",31/12/2015
G-Nova,Association,TOUNSI,Stéphane,Président,,31/12/2015
Gie Afer (Association Française d'Épargne et de Retraite),Association,PAQUIN,Marie-Elsa,Chargée des Relations institutionnelles,,31/12/2015
Green Cross,Association,IMBERT,Nicolas,Directeur exécutif,Green Cross France et Territoires - Green Cross International,31/12/2015
Groupement des Autorités Responsables de Transport (GART),Association,KESTEL,Laurent,Directeur général adjoint,,31/12/2015
Groupement des Industries de Construction et Activités Navales (GICAN),Organisation professionnelle,CROCE,Hervé,Responsable des relations institutionnelles,,31/12/2015
Institut International Commerce Développement (ICD),Association,CHTIOUI,Tawhid,Directeur,,31/12/2015
JTGD Conseil,,GUILLERÉ-DELANGRE,Jean-Thierry,Directeur,AFAB - ADCCPA - Feedsim Avenir - Sarl Château Jeanbrun,31/01/2015
Lobbsonn,Société de conseil,BOUTEILLER,Samuel,Directeur associé,Chambre nationale des Huissiers de Justice - Groupe AMALLIA - ALLIADE Habitat - Institut Français des Experts Comptables et Commissaires aux Comptes (IFEC),31/12/2015
Lobbying et Stratégies,Société de conseil,COSTE,Thierry,Directeur,"Fédération nationale des Chasseurs, Fédération Nationale de la Pêche, Syndicat National des Vétérinaires d'Exercice Libéral, Comité Guillaume Tell, Comité Noé, Gtech, Humbert ctts, ….",31/12/2015
Lysios Public Affairs,Société de conseil,ARCHAMBAULT,Jean-Luc,Président fondateur,,31/12/2015
Max Havelaar France,Organisation non gouvernementale,BERTHIER,Anne-Marie,Directrice Communication et relations extérieures,,31/12/2015
MBDA Missiles Systems,Entreprise privée,CHOLLET,Patricia,Chargée des relations avec le parlement,,31/12/2015
MEDEF,Association,RESSOT,Guillaume,Directeur des Affaires publiques,,31/12/2015
Musiques Francophones Plurielles,Association,BLACHE,Jacques,Président,,31/12/2015
PSA Peugeot Citroën,Entreprise privée,LHEUREUX,Mathilde,Déléguée aux Institutions publiques et au Parlement,,31/12/2015
PUBLIC & PRIVATE LINK,Société de conseil,SOCCOL,Brice,Président,Mitsubishi,31/12/2015
Sanofi,Entreprise privée,MOREAU,Jean-Yves,Directeur des relations gouvernementales et parlementaires,,31/12/2015
Saur,Entreprise privée,PARIS,Didier,Directeur en charge des Affaires publiques,,31/12/2015
Séance Publique,Société de conseil,JULLIEN,Murielle,Directrice Parlement,"Action Enfance-Fondation MVE, Agence nationale pour la gestion des déchets radioacifs (ANDRA), Centre d'Etude et de Documentation sur le Sucre (CEDUS), Conseil National de l'Ordre des Architectes (CNOA), Confédération Générale des Planteurs de Betteraves (CGB), Fédération des services énergie environnement (Fedene), GrDF, Ifremer, Institut de la Gestion Déléguée (IGD), Institut National de l'Information Géographique (IGN), Institut National de l'Environnement Industriel et des Risques (INERIS), Institut de Radioprotection et de Sûreté Nucléaire (IRSN), Interfel, Kokoba Limited ex Medicanimal, Groupe PSA Peugeot-Citroën, Société des autoroutes du Nord et de l'Est de la France (SANEF), Syndicat National des Industries des Peintures, Enduits et Vernis (SIPEV), Syndicat National des Etablissements et Résidences Privés pour Personnes Agées (SYNERPA), SYNTEC INGENIERIE, Union des syndicats de l'Immobilier (UNIS), Fédérations des professionnels et établissements de formation en Ostéopahie (SNESO, SFDO,CNO, INFO) réunies au sein de l'Unité pour l'Ostéopathie, UNEDIC, Union Française des Industries Pétrolières (UFIP)",31/12/2015
Servier Monde,Entreprise privée,MOIZAN,Corinne,Directeur des Affaires Institutionnelles,,31/12/2015
Sifaris S.A.S.,Société de conseil,BEUZE,Jean-François,Président Directeur général,,31/12/2015
SNCF,Organisme public,NION,Laurence,Conseillère parlementaire,Groupe SNCF,31/12/2015
Société de Banque et d'Expansion (SBE),Entreprise privée,GENTILI,Joëlle,Directrice des Relations Institutionnelles,,31/12/2015
"Société des Auteurs, Compositeurs et Editeurs de musique (SACEM)",Entreprise privée,MISTLER,Blaise,Directeur des Relations institutionnelles,,31/12/2015
Solidarité des Grands-Parents,Association,RONDEAU,Jany-Claude,Présidente,,31/12/2015
Syndicat des Entreprises de Génie Électrique et Climatique (SERCE),Organisation professionnelle,VALACHS,Anne,Directeur général,,31/12/2015
Syntec Conseil en relations publiques,Organisation professionnelle,WELLWHOFF,Thierry,"Chef de service, chargée des relations parlementaires","Adocom, Abine&Co, Alteris Environnement, Amalthea, Aromates, Auvray & Associész, Babel, Boracay, Edeman, Fhcom, Fleishman-Hillard, Florence Gillier & Associés, FP&A, Golin, Gootenberg, H+K Sratégies, Idenium, Influelse, Kable Communication, Kalaapa, Ketchum, Kingcom, Le Public Système, Les Aeliers Corporate, Lewis PR, Maarc, Monet + Associés, Ogilvy Public Relations, Profile PR, Publicis Consultants France, Self Image, TBWA Corporate, Thomas Marko & Associés, VFC Relations Publics, VP Strat & Com, WE Agency, Weber Shandwick, Wellcom, Yucatan, Zmirov Communication",31/12/2015
Thales,Entreprise privée,CAPUTO,Isabelle,Directeur des Relations institutionnelles,,31/12/2015
Total SA,Entreprise privée,TRIBOT LASPIERE,François,Adjoint au Directeur Affaires publiques France et ONG,,31/12/2015
Union des Industries et Métiers de la Métallurgie (UIMM),Organisation professionnelle,NOQUÉ,Alain,Directeur des relations extérieures,,31/12/2015
Union Française des Industries Pétrolières (UFIP),Organisation professionnelle,AGEORGES,Bruno,Directeur des Relations institutionnelles et des Affaires juridiques,,31/12/2015
Union nationale Interfédérale des œuvres et organismes privés sanitaires et sociaux (UNIOPSS),Association,MAIRE,Ronald,Conseiller technique,APF - CNAPE - Secours catholique - Croix Rouge - FNARS...,31/12/2015
Villes de France,Association,SAUVOUREL,Jean-Sébastien,Conseiller,,31/12/2015
